cik,company,date_added,founded,headquarters,sector,sub_industry,ticker
0000066740,3M,1957-03-04,1902,"Saint Paul, Minnesota",Industrials,Industrial Conglomerates,MMM
0000091142,A. O. Smith,2017-07-26,1916,Milwaukee,Industrials,Building Products,AOS
0000001800,Abbott Laboratories,1957-03-04,1888,"North Chicago, Illinois",Health Care,Health Care Equipment,ABT
0001551152,AbbVie,2012-12-31,2013 (1888),"North Chicago, Illinois",Health Care,Biotechnology,ABBV
0001467373,Accenture,2011-07-06,1989,Dublin,Information Technology,IT Consulting & Other Services,ACN
0000796343,Adobe Inc.,1997-05-05,1982,"San Jose, California",Information Technology,Application Software,ADBE
0000002488,Advanced Micro Devices,2017-03-20,1969,"Santa Clara, California",Information Technology,Semiconductors,AMD
0000874761,AES Corporation,1998-10-02,1981,"Arlington, Virginia",Utilities,Independent Power Producers & Energy Traders,AES
0000004977,Aflac,1999-05-28,1955,"Columbus, Georgia",Financials,Life & Health Insurance,AFL
0001090872,Agilent Technologies,2000-06-05,1999,"Santa Clara, California",Health Care,Life Sciences Tools & Services,A
0000002969,Air Products,1985-04-30,1940,"Upper Macungie Township, Pennsylvania",Materials,Industrial Gases,APD
0001559720,Airbnb,2023-09-18,2008,San Francisco,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",ABNB
0001086222,Akamai Technologies,2007-07-12,1998,"Cambridge, Massachusetts",Information Technology,Internet Services & Infrastructure,AKAM
0000915913,Albemarle Corporation,2016-07-01,1994,"Charlotte, North Carolina",Materials,Specialty Chemicals,ALB
0001035443,Alexandria Real Estate Equities,2017-03-20,1994,"Pasadena, California",Real Estate,Office REITs,ARE
0001097149,Align Technology,2017-06-19,1997,"Tempe, Arizona",Health Care,Health Care Supplies,ALGN
0001579241,Allegion,2013-12-02,1908,Dublin,Industrials,Building Products,ALLE
0000352541,Alliant Energy,2016-07-01,1917,"Madison, Wisconsin",Utilities,Electric Utilities,LNT
0000899051,Allstate,1995-07-13,1931,"Northbrook, Illinois",Financials,Property & Casualty Insurance,ALL
0001652044,Alphabet Inc.,2006-04-03,1998,"Mountain View, California",Communication Services,Interactive Media & Services,GOOGL
0001652044,Alphabet Inc.,2014-04-03,1998,"Mountain View, California",Communication Services,Interactive Media & Services,GOOG
